Date,Open,High,Low,Close,Adj Close,Volume
2018-02-07,0.738200,0.742120,0.734900,0.738980,0.738980,0
2018-02-08,0.736950,0.739760,0.728810,0.736000,0.736000,0
2018-02-09,0.728020,0.735280,0.727290,0.728150,0.728150,0
2018-02-12,0.734680,0.736290,0.732800,0.734720,0.734720,0
2018-02-13,0.737490,0.739810,0.730800,0.737680,0.737680,0
2018-02-14,0.735230,0.736630,0.727200,0.735240,0.735240,0
2018-02-15,0.735640,0.737430,0.728800,0.735390,0.735390,0
2018-02-16,0.732310,0.735190,0.731300,0.732450,0.732450,0
2018-02-19,0.733530,0.736350,0.733000,0.733500,0.733500,0
2018-02-20,0.735050,0.739800,0.733700,0.735110,0.735110,0
2018-02-21,0.737400,0.739250,0.733600,0.737500,0.737500,0
2018-02-22,0.731980,0.734440,0.731300,0.731990,0.731990,0
2018-02-23,0.731410,0.732300,0.729360,0.731390,0.731390,0
2018-02-26,0.734650,0.736740,0.732630,0.734380,0.734380,0
2018-02-27,0.736700,0.737060,0.732000,0.736830,0.736830,0
2018-02-28,0.732060,0.737430,0.730900,0.732070,0.732070,0
2018-03-01,0.733000,0.734720,0.728800,0.733120,0.733120,0
2018-03-02,0.730970,0.732000,0.724260,0.730920,0.730920,0
2018-03-05,0.726800,0.729820,0.723900,0.726650,0.726650,0
2018-03-06,0.729850,0.735310,0.728500,0.729610,0.729610,0
2018-03-07,0.730550,0.737800,0.729150,0.730490,0.730490,0
2018-03-08,0.738660,0.739660,0.735800,0.738120,0.738120,0
2018-03-09,0.741080,0.745470,0.740100,0.741210,0.741210,0
2018-03-12,0.747450,0.748100,0.744800,0.747530,0.747530,0
2018-03-13,0.745730,0.747370,0.742800,0.745690,0.745690,0
2018-03-14,0.741610,0.748340,0.740600,0.741000,0.741000,0
2018-03-15,0.744370,0.744580,0.740700,0.744150,0.744150,0
2018-03-16,0.741010,0.741500,0.735900,0.741080,0.741080,0
2018-03-19,0.735180,0.735770,0.731140,0.735140,0.735140,0
2018-03-20,0.733310,0.736170,0.731300,0.733080,0.733080,0
2018-03-21,0.735180,0.735820,0.731100,0.735010,0.735010,0
2018-03-22,0.737420,0.737710,0.728760,0.737430,0.737430,0
2018-03-23,0.728110,0.733680,0.727500,0.728060,0.728060,0
2018-03-26,0.730240,0.734010,0.727400,0.730080,0.730080,0
2018-03-27,0.732880,0.733020,0.728600,0.732670,0.732670,0
2018-03-28,0.727630,0.733210,0.726200,0.727600,0.727600,0
2018-03-29,0.732850,0.735100,0.730800,0.732620,0.732620,0
2018-03-30,0.734800,0.734940,0.731600,0.734550,0.734550,0
2018-04-02,0.733550,0.734270,0.730740,0.733360,0.733360,0
2018-04-03,0.730800,0.737600,0.730800,0.730500,0.730500,0
2018-04-04,0.736120,0.739550,0.732500,0.735800,0.735800,0
2018-04-05,0.741200,0.741600,0.736800,0.741110,0.741110,0
2018-04-06,0.738070,0.741260,0.736900,0.737620,0.737620,0
2018-04-09,0.736470,0.738880,0.733300,0.736600,0.736600,0
2018-04-10,0.736220,0.743120,0.735000,0.736110,0.736110,0
2018-04-11,0.741600,0.743900,0.739900,0.742490,0.742490,0
2018-04-12,0.743150,0.747300,0.741900,0.743080,0.743080,0
2018-04-13,0.746880,0.751450,0.746300,0.746530,0.746530,0
2018-04-16,0.748550,0.748950,0.744500,0.748580,0.748580,0
2018-04-17,0.745900,0.751120,0.744600,0.745300,0.745300,0
2018-04-18,0.750770,0.753520,0.749500,0.750660,0.750660,0
