Date,Open,High,Low,Close,Adj Close,Volume
2018-02-07,1.076600,1.079010,1.073900,1.076800,1.076800,0
2018-02-08,1.081000,1.089220,1.079010,1.081380,1.081380,0
2018-02-09,1.077710,1.080360,1.075600,1.077680,1.077680,0
2018-02-12,1.079180,1.082590,1.076100,1.079120,1.079120,0
2018-02-13,1.081300,1.083760,1.076100,1.081100,1.081100,0
2018-02-14,1.079590,1.080610,1.072040,1.079340,1.079340,0
2018-02-15,1.075160,1.076860,1.069800,1.075130,1.075130,0
2018-02-16,1.072700,1.075750,1.070180,1.073680,1.073680,0
2018-02-19,1.070630,1.074400,1.069800,1.070900,1.070900,0
2018-02-20,1.074070,1.076870,1.070400,1.073990,1.073990,0
2018-02-21,1.072500,1.075310,1.066400,1.073260,1.073260,0
2018-02-22,1.065810,1.069040,1.064600,1.065730,1.065730,0
2018-02-23,1.070650,1.073370,1.068500,1.070400,1.070400,0
2018-02-26,1.076310,1.076310,1.070900,1.076690,1.076690,0
2018-02-27,1.076500,1.078400,1.075200,1.076630,1.076630,0
2018-02-28,1.077300,1.082620,1.075100,1.077080,1.077080,0
2018-03-01,1.076200,1.077490,1.068600,1.076200,1.076200,0
2018-03-02,1.068940,1.073290,1.065200,1.069090,1.069090,0
2018-03-05,1.072140,1.074410,1.069700,1.072490,1.072490,0
2018-03-06,1.074900,1.076400,1.069800,1.073800,1.073800,0
2018-03-07,1.069000,1.074360,1.066800,1.068960,1.068960,0
2018-03-08,1.073200,1.075700,1.071400,1.073100,1.073100,0
2018-03-09,1.073080,1.076280,1.069600,1.072200,1.072200,0
2018-03-12,1.075650,1.078870,1.073400,1.075830,1.075830,0
2018-03-13,1.078300,1.079130,1.072100,1.078210,1.078210,0
2018-03-14,1.072000,1.077730,1.069700,1.071950,1.071950,0
2018-03-15,1.077690,1.077690,1.072040,1.077040,1.077040,0
2018-03-16,1.071280,1.075950,1.070100,1.070500,1.070500,0
2018-03-19,1.067500,1.069050,1.064600,1.067490,1.067490,0
2018-03-20,1.064450,1.069730,1.063300,1.063300,1.063300,0
2018-03-21,1.071060,1.074400,1.069800,1.071030,1.071030,0
2018-03-22,1.075270,1.076120,1.065600,1.075120,1.075120,0
2018-03-23,1.066350,1.068950,1.063100,1.066070,1.066070,0
2018-03-26,1.064610,1.065100,1.057700,1.064490,1.064490,0
2018-03-27,1.062090,1.062540,1.058000,1.061930,1.061930,0
2018-03-28,1.057450,1.061750,1.055500,1.057400,1.057400,0
2018-03-29,1.062170,1.066810,1.061300,1.062090,1.062090,0
2018-03-30,1.063250,1.064700,1.060600,1.062860,1.062860,0
2018-04-02,1.062080,1.063420,1.059800,1.062130,1.062130,0
2018-04-03,1.062430,1.065600,1.056700,1.062470,1.062470,0
2018-04-04,1.057660,1.059580,1.052000,1.057600,1.057600,0
2018-04-05,1.054800,1.057450,1.051800,1.054690,1.054690,0
2018-04-06,1.055400,1.060780,1.055100,1.055720,1.055720,0
2018-04-09,1.054600,1.056020,1.049900,1.055660,1.055660,0
2018-04-10,1.053630,1.055610,1.050800,1.053640,1.053640,0
2018-04-11,1.052600,1.055360,1.050600,1.053330,1.053330,0
2018-04-12,1.053430,1.053700,1.047900,1.052600,1.052600,0
2018-04-13,1.051490,1.058210,1.050800,1.051260,1.051260,0
2018-04-16,1.057540,1.059180,1.054300,1.057870,1.057870,0
2018-04-17,1.055230,1.060030,1.054400,1.055170,1.055170,0
2018-04-18,1.058230,1.062650,1.057000,1.057940,1.057940,0
2018-04-19,1.063380,1.067120,1.061460,1.063410,1.063410,0
2018-04-20,1.064150,1.066150,1.061300,1.063860,1.063860,0
2018-04-23,1.063280,1.066160,1.062500,1.063220,1.063220,0
2018-04-24,1.063080,1.069530,1.062500,1.063070,1.063070,0
2018-04-25,1.068670,1.070660,1.066100,1.068690,1.068690,0
2018-04-26,1.069400,1.072820,1.068100,1.069100,1.069100,0
2018-04-27,1.068500,1.071680,1.067500,1.069540,1.069540,0
2018-04-30,1.069580,1.071400,1.067300,1.068300,1.068300,0
2018-05-01,1.070160,1.072050,1.067900,1.070320,1.070320,0
2018-05-02,1.068730,1.071420,1.067300,1.068800,1.068800,0
2018-05-03,1.070270,1.072940,1.067400,1.069500,1.069500,0
2018-05-04,1.069300,1.075440,1.068300,1.069080,1.069080,0
2018-05-07,1.071830,1.072110,1.068900,1.071720,1.071720,0
2018-05-08,1.070540,1.071210,1.067300,1.069700,1.069700,0
2018-05-09,1.068280,1.068760,1.065700,1.067900,1.067900,0
2018-05-10,1.075620,1.081970,1.074500,1.076020,1.076020,0
2018-05-11,1.080000,1.084130,1.080000,1.080840,1.080840,0
2018-05-14,1.083680,1.089260,1.082700,1.083550,1.083550,0
2018-05-15,1.087100,1.089930,1.085100,1.087900,1.087900,0
2018-05-16,1.088020,1.089950,1.084700,1.088000,1.088000,0
2018-05-17,1.088810,1.093800,1.087400,1.087800,1.087800,0
2018-05-18,1.090140,1.091090,1.085400,1.090180,1.090180,0
2018-05-21,1.088020,1.092680,1.086800,1.087300,1.087300,0
2018-05-22,1.090580,1.094570,1.089000,1.090500,1.090500,0
2018-05-23,1.091410,1.094060,1.090100,1.091650,1.091650,0
2018-05-24,1.091500,1.093950,1.090500,1.091970,1.091970,0
2018-05-25,1.092190,1.096110,1.090400,1.092450,1.092450,0
2018-05-28,1.091820,1.092220,1.086000,1.091900,1.091900,0
2018-05-29,1.087400,1.088880,1.083800,1.087250,1.087250,0
2018-05-30,1.086440,1.087010,1.080100,1.085930,1.085930,0
2018-05-31,1.083100,1.085530,1.078060,1.083200,1.083200,0
2018-06-01,1.078850,1.083630,1.076900,1.079180,1.079180,0
2018-06-04,1.084230,1.088730,1.083300,1.084160,1.084160,0
2018-06-05,1.087900,1.087970,1.083000,1.088140,1.088140,0
2018-06-06,1.084740,1.090080,1.084100,1.084530,1.084530,0
2018-06-07,1.088670,1.089430,1.082900,1.088760,1.088760,0
2018-06-08,1.085000,1.085380,1.077000,1.084770,1.084770,0
2018-06-11,1.081010,1.082500,1.078900,1.080000,1.080000,0
2018-06-12,1.083540,1.084060,1.080300,1.083600,1.083600,0
2018-06-13,1.081230,1.081230,1.075800,1.081060,1.081060,0
2018-06-14,1.077470,1.077930,1.071200,1.077600,1.077600,0
2018-06-15,1.072360,1.075880,1.071200,1.072320,1.072320,0
2018-06-18,1.072280,1.074680,1.067600,1.071300,1.071300,0
2018-06-19,1.068010,1.070230,1.065000,1.068140,1.068140,0
2018-06-20,1.070030,1.074580,1.068100,1.070020,1.070020,0
2018-06-21,1.073360,1.077650,1.071900,1.073260,1.073260,0
2018-06-22,1.073600,1.077810,1.070400,1.073730,1.073730,0
2018-06-25,1.074900,1.076800,1.073400,1.075480,1.075480,0
2018-06-26,1.075320,1.078420,1.073500,1.075440,1.075440,0
2018-06-27,1.079000,1.085370,1.078200,1.079030,1.079030,0
2018-06-28,1.081110,1.088450,1.080700,1.081180,1.081180,0
2018-06-29,1.088030,1.092940,1.086200,1.087980,1.087980,0
2018-07-02,1.091330,1.095070,1.088100,1.090500,1.090500,0
2018-07-03,1.093540,1.098920,1.092300,1.093590,1.093590,0
2018-07-04,1.092700,1.095500,1.090100,1.092540,1.092540,0
2018-07-05,1.091520,1.092000,1.087100,1.091450,1.091450,0
2018-07-06,1.086660,1.088450,1.085300,1.086910,1.086910,0
2018-07-09,1.087800,1.093290,1.086800,1.087820,1.087820,0
2018-07-10,1.090560,1.092760,1.089400,1.090680,1.090680,0
2018-07-11,1.087700,1.090400,1.086300,1.087420,1.087420,0
2018-07-12,1.090470,1.093950,1.089000,1.089500,1.089500,0
2018-07-13,1.093620,1.096920,1.092100,1.092700,1.092700,0
2018-07-16,1.096000,1.097320,1.093200,1.096530,1.096530,0
2018-07-17,1.092730,1.094400,1.085300,1.092670,1.092670,0
2018-07-18,1.089210,1.089800,1.085500,1.089580,1.089580,0
2018-07-19,1.089080,1.094370,1.087900,1.089040,1.089040,0
2018-07-20,1.091020,1.091950,1.088000,1.091000,1.091000,0
2018-07-23,1.089400,1.089700,1.086000,1.089520,1.089520,0
2018-07-24,1.087960,1.090680,1.085300,1.087940,1.087940,0
2018-07-25,1.091800,1.092940,1.086900,1.091460,1.091460,0
2018-07-26,1.089700,1.089810,1.086300,1.089690,1.089690,0
2018-07-27,1.087380,1.090980,1.086700,1.087250,1.087250,0
2018-07-30,1.088870,1.089080,1.083400,1.088750,1.088750,0
2018-07-31,1.085240,1.092040,1.083600,1.085300,1.085300,0
2018-08-01,1.090400,1.091280,1.087600,1.090440,1.090440,0
2018-08-02,1.089800,1.092510,1.087700,1.089790,1.089790,0
