Date,Open,High,Low,Close
2018-02-07,2.3779,2.386,2.3712,2.3804
2018-02-08,2.379,2.385,2.3718,2.3795
2018-02-09,2.3808,2.3856,2.3735,2.3841
2018-02-12,2.3841,2.3923,2.3755,2.3794
2018-02-13,2.38,2.3858,2.3753,2.3831
2018-02-14,2.3818,2.3924,2.3768,2.3825
2018-02-15,2.3827,2.3871,2.3784,2.3834
2018-02-16,2.3817,2.3875,2.3768,2.3849
2018-02-19,2.3849,2.3877,2.3786,2.3833
2018-02-20,2.3833,2.3889,2.3786,2.3841
2018-02-21,2.3824,2.389,2.3737,2.3843
2018-02-22,2.3845,2.3869,2.3778,2.3803
2018-02-23,2.3803,2.3846,2.3731,2.3808
2018-02-26,2.3808,2.3853,2.3745,2.38
2018-02-27,2.3808,2.3871,2.3732,2.3843
2018-02-28,2.384,2.3866,2.3785,2.382
2018-03-01,2.3821,2.3848,2.3757,2.3817
2018-03-02,2.3833,2.3877,2.3783,2.3819
2018-03-05,2.3819,2.3919,2.3759,2.3775
2018-03-06,2.3775,2.3916,2.3723,2.3827
2018-03-07,2.3826,2.386,2.363,2.3643
2018-03-08,2.3643,2.3866,2.3643,2.3804
2018-03-09,2.3797,2.3845,2.3749,2.3815
2018-03-12,2.3815,2.3849,2.3756,2.3835
2018-03-13,2.3833,2.396,2.3811,2.3882
2018-03-14,2.3894,2.3913,2.3813,2.3826
2018-03-15,2.3832,2.3901,2.3803,2.3838
2018-03-16,2.3833,2.3902,2.3803,2.3875
2018-03-19,2.3875,2.3925,2.3832,2.3868
2018-03-20,2.3862,2.3898,2.3827,2.3864
2018-03-21,2.3867,2.3914,2.381,2.3849
2018-03-22,2.3848,2.3895,2.3816,2.387
2018-03-23,2.387,2.3887,2.3808,2.3835
2018-03-26,2.3835,2.3848,2.372,2.3783
2018-03-27,2.3771,2.3823,2.3749,2.3774
2018-03-28,2.3773,2.3838,2.3758,2.3786
2018-03-29,2.379,2.3851,2.3763,2.3834
2018-03-30,2.3834,2.3864,2.3765,2.3786
2018-04-02,2.3786,2.3887,2.3764,2.3791
2018-04-03,2.3791,2.3857,2.3759,2.3831
2018-04-04,2.3816,2.3902,2.3792,2.3853
2018-04-05,2.3839,2.3894,2.3751,2.3838
2018-04-06,2.3842,2.387,2.3816,2.3839
2018-04-09,2.3839,2.387,2.3819,2.385
2018-04-10,2.3843,2.387,2.3772,2.3808
2018-04-11,2.3791,2.3872,2.3777,2.3833
2018-04-12,2.3835,2.3862,2.3771,2.3837
2018-04-13,2.3825,2.3852,2.3773,2.3834
2018-04-16,2.3834,2.3851,2.3684,2.3715
2018-04-17,2.3714,2.3798,2.3635,2.3752
2018-04-18,2.3748,2.3818,2.3722,2.3792
2018-04-19,2.3791,2.3841,2.3767,2.3813
2018-04-20,2.3818,2.3848,2.3729,2.3819
2018-04-23,2.3819,2.3878,2.3706,2.3726
2018-04-24,2.3726,2.3844,2.371,2.376
2018-04-25,2.3755,2.3826,2.3692,2.3768
2018-04-26,2.3751,2.3868,2.3717,2.3831
2018-04-27,2.3829,2.3863,2.3798,2.3829
2018-04-30,2.3829,2.3859,2.3748,2.3847
2018-05-01,2.3847,2.3847,2.3549,2.3551
2018-05-02,2.3551,2.3926,2.3551,2.3838
2018-05-03,2.3854,2.3896,2.3755,2.3858
2018-05-04,2.3858,2.3885,2.3719,2.3808
2018-05-07,2.3808,2.3941,2.3805,2.3882
2018-05-08,2.388,2.3915,2.3691,2.3785
2018-05-09,2.3784,2.3811,2.3714,2.3749
2018-05-10,2.3766,2.3783,2.3656,2.3731
2018-05-11,2.3747,2.3768,2.3615,2.3691
2018-05-14,2.3691,2.3698,2.3576,2.3648
2018-05-15,2.3661,2.3725,2.36,2.3712
2018-05-16,2.3699,2.3733,2.3556,2.3683
2018-05-17,2.3675,2.3743,2.3621,2.3707
2018-05-18,2.3708,2.3721,2.3573,2.3681
2018-05-21,2.3681,2.3742,2.3601,2.3632
2018-05-22,2.3649,2.3743,2.3595,2.366
2018-05-23,2.3639,2.3709,2.3577,2.3655
2018-05-24,2.3655,2.3706,2.3597,2.3682
2018-05-25,2.3667,2.3709,2.3624,2.3678
2018-05-28,2.3678,2.3812,2.3502,2.3719
2018-05-29,2.3719,2.379,2.3648,2.3748
2018-05-30,2.3761,2.3801,2.3676,2.3781
2018-05-31,2.3767,2.3844,2.3711,2.3843
2018-06-01,2.3829,2.3884,2.3804,2.3847
2018-06-04,2.3847,2.3858,2.3738,2.3823
2018-06-05,2.3807,2.3841,2.3668,2.3777
2018-06-06,2.3794,2.384,2.3729,2.3789
2018-06-07,2.3785,2.3865,2.3761,2.3839
2018-06-08,2.3838,2.3871,2.3789,2.3825
2018-06-11,2.3825,2.3877,2.3721,2.3854
2018-06-12,2.3857,2.3908,2.3763,2.3832
2018-06-13,2.3833,2.3928,2.3795,2.3846
2018-06-14,2.3852,2.3902,2.373,2.3901
2018-06-15,2.3901,2.3901,2.3788,2.3857
2018-06-18,2.3857,2.3893,2.3808,2.3868
2018-06-19,2.387,2.3927,2.3809,2.3879
2018-06-20,2.3866,2.3941,2.3831,2.3884
2018-06-21,2.3898,2.3925,2.3755,2.3886
2018-06-22,2.3874,2.3901,2.3787,2.3831
2018-06-25,2.3831,2.3892,2.3797,2.387
2018-06-26,2.3873,2.3939,2.379,2.3833
2018-06-27,2.3832,2.3857,2.3698,2.3792
2018-06-28,2.3778,2.3863,2.3773,2.3862
2018-06-29,2.3848,2.3907,2.3696,2.3842
2018-07-02,2.3842,2.3949,2.3771,2.3839
2018-07-03,2.384,2.3859,2.3771,2.3814
2018-07-04,2.383,2.3876,2.3797,2.3847
2018-07-05,2.3861,2.3874,2.3757,2.3841
2018-07-06,2.3829,2.3873,2.3761,2.383
2018-07-09,2.383,2.3875,2.3771,2.3821
2018-07-10,2.382,2.3852,2.3768,2.3807
