Date,Open,High,Low,Close
2018-02-07,1.6885,1.6921,1.6831,1.6901
2018-02-08,1.6898,1.7078,1.6849,1.7057
2018-02-09,1.7059,1.7072,1.6961,1.6997
2018-02-12,1.6997,1.7029,1.6932,1.6942
2018-02-13,1.6945,1.7007,1.6919,1.6939
2018-02-14,1.6943,1.7015,1.6886,1.6906
2018-02-15,1.6907,1.6998,1.6877,1.6962
2018-02-16,1.6964,1.7009,1.693,1.6982
2018-02-19,1.6982,1.7017,1.6944,1.6971
2018-02-20,1.6969,1.6987,1.6901,1.6926
2018-02-21,1.6924,1.6996,1.6899,1.6944
2018-02-22,1.6942,1.7012,1.6937,1.7006
2018-02-23,1.7004,1.7031,1.6969,1.6976
2018-02-26,1.6976,1.7049,1.6911,1.6931
2018-02-27,1.6935,1.7044,1.6902,1.7033
2018-02-28,1.7031,1.7042,1.6949,1.6967
2018-03-01,1.6974,1.6993,1.6909,1.6929
2018-03-02,1.6931,1.7018,1.69,1.6925
2018-03-05,1.6925,1.6987,1.6875,1.6894
2018-03-06,1.689,1.6918,1.6753,1.6762
2018-03-07,1.6764,1.683,1.6685,1.6695
2018-03-08,1.6691,1.6743,1.6652,1.6707
2018-03-09,1.6704,1.6756,1.666,1.6712
2018-03-12,1.6712,1.6767,1.6698,1.6734
2018-03-13,1.673,1.6756,1.6679,1.6715
2018-03-14,1.6711,1.6747,1.6695,1.6741
2018-03-15,1.674,1.6765,1.6674,1.6724
2018-03-16,1.6726,1.6742,1.6685,1.6724
2018-03-19,1.6724,1.6727,1.6642,1.667
2018-03-20,1.6672,1.6715,1.6643,1.67
2018-03-21,1.6697,1.6765,1.6663,1.6702
2018-03-22,1.67,1.6785,1.6672,1.6741
2018-03-23,1.6743,1.68,1.6675,1.6713
2018-03-26,1.6713,1.6734,1.6612,1.6617
2018-03-27,1.662,1.6663,1.6605,1.6669
2018-03-28,1.6666,1.6686,1.6564,1.6614
2018-03-29,1.6612,1.666,1.6576,1.6621
2018-03-30,1.6622,1.6692,1.6613,1.6658
2018-04-02,1.6658,1.6687,1.6616,1.6675
2018-04-03,1.6694,1.6689,1.6615,1.6625
2018-04-04,1.662,1.6666,1.6561,1.6576
2018-04-05,1.6578,1.6659,1.6553,1.6584
2018-04-06,1.6586,1.6636,1.6565,1.6608
2018-04-09,1.6608,1.6621,1.6575,1.6604
2018-04-10,1.6602,1.6622,1.6535,1.6544
2018-04-11,1.6546,1.6565,1.6462,1.6515
2018-04-12,1.6514,1.6533,1.6451,1.6489
2018-04-13,1.6488,1.6526,1.6459,1.6483
2018-04-16,1.6483,1.6503,1.6454,1.647
2018-04-17,1.6469,1.6482,1.636,1.6361
2018-04-18,1.6363,1.6373,1.6312,1.6308
2018-04-19,1.6306,1.6363,1.6287,1.6318
2018-04-20,1.6316,1.6383,1.6287,1.6322
2018-04-23,1.6322,1.6453,1.6298,1.6443
2018-04-24,1.644,1.6438,1.632,1.6355
2018-04-25,1.6353,1.6389,1.6293,1.6357
2018-04-26,1.6354,1.6382,1.6302,1.6327
2018-04-27,1.6329,1.6373,1.631,1.6328
2018-04-30,1.6328,1.6388,1.6309,1.6335
2018-05-01,1.6338,1.6411,1.6313,1.637
2018-05-02,1.6373,1.6416,1.6303,1.6381
2018-05-03,1.6385,1.6416,1.6334,1.6356
2018-05-04,1.6354,1.6422,1.6316,1.6356
2018-05-07,1.6356,1.6377,1.6259,1.631
2018-05-08,1.6308,1.6499,1.6289,1.6455
2018-05-09,1.6456,1.6478,1.6412,1.6421
