Date,Open,High,Low,Close
2018-02-07,4.015,4.0286,4.0056,4.0232
2018-02-08,4.0224,4.0632,4.0122,4.0588
2018-02-09,4.0592,4.0688,4.0311,4.0523
2018-02-12,4.0523,4.06,4.03,4.0311
2018-02-13,4.0319,4.0491,4.0271,4.0367
2018-02-14,4.0375,4.0537,4.0226,4.0278
2018-02-15,4.0282,4.0488,4.0203,4.0427
2018-02-16,4.0432,4.0528,4.0341,4.0501
2018-02-19,4.0501,4.0558,4.0392,4.0446
2018-02-20,4.0441,4.0478,4.0317,4.0355
2018-02-21,4.035,4.0422,4.0182,4.04
2018-02-22,4.0396,4.0505,4.034,4.0479
2018-02-23,4.0475,4.0534,4.0341,4.0415
2018-02-26,4.0415,4.0576,4.0265,4.0295
2018-02-27,4.0304,4.0618,4.0182,4.0611
2018-02-28,4.0607,4.062,4.0377,4.0416
2018-03-01,4.0433,4.0465,4.0271,4.0321
2018-03-02,4.0325,4.0539,4.0255,4.0315
2018-03-05,4.0315,4.049,4.0128,4.0166
2018-03-06,4.0157,4.022,3.9909,3.9938
2018-03-07,3.9943,4.0081,3.946,3.9472
2018-03-08,3.9464,3.9917,3.9463,3.9771
2018-03-09,3.9762,3.9887,3.9605,3.9798
2018-03-12,3.9798,3.9937,3.9752,3.9884
2018-03-13,3.9876,4.0039,3.981,3.9917
2018-03-14,3.9909,3.9971,3.9803,3.9888
2018-03-15,3.9884,3.9951,3.984,3.9865
2018-03-16,3.987,3.9935,3.9776,3.993
2018-03-19,3.993,3.9944,3.9732,3.9789
2018-03-20,3.9793,3.9841,3.9762,3.9853
2018-03-21,3.9844,4.0004,3.9752,3.9832
2018-03-22,3.9827,4.0051,3.9794,3.996
2018-03-23,3.9964,4.0069,3.9782,3.9834
2018-03-26,3.9834,3.99,3.9504,3.9521
2018-03-27,3.9529,3.958,3.9532,3.9629
2018-03-28,3.9621,3.966,3.9389,3.9518
2018-03-29,3.9514,3.9654,3.9448,3.9614
2018-03-30,3.9618,3.9737,3.9591,3.9623
2018-04-02,3.9623,3.9666,3.9621,3.9672
2018-04-03,3.9718,3.9666,3.9622,3.9619
2018-04-04,3.9607,3.9696,3.949,3.9539
2018-04-05,3.9543,3.9547,3.9534,3.9534
2018-04-06,3.9538,3.9638,3.9499,3.959
2018-04-09,3.959,3.9622,3.952,3.96
2018-04-10,3.9596,3.9616,3.9364,3.9388
2018-04-11,3.9392,3.9422,3.9187,3.9361
2018-04-12,3.9357,3.9396,3.9211,3.9306
2018-04-13,3.9302,3.934,3.921,3.9287
2018-04-16,3.9287,3.9287,3.9029,3.9059
2018-04-17,3.9055,3.9103,3.8841,3.8862
2018-04-18,3.8866,3.8853,3.8824,3.88
2018-04-19,3.8796,3.8981,3.8783,3.8858
2018-04-20,3.8854,3.8988,3.8791,3.8878
2018-04-23,3.8878,3.9064,3.8818,3.9013
2018-04-24,3.9005,3.8996,3.8862,3.886
2018-04-25,3.8856,3.8899,3.8683,3.8877
2018-04-26,3.8869,3.897,3.8773,3.8909
2018-04-27,3.8913,3.9014,3.8833,3.8908
2018-04-30,3.8908,3.9088,3.8854,3.8953
2018-05-01,3.8961,3.9064,3.8541,3.8552
2018-05-02,3.856,3.9087,3.8537,3.905
2018-05-03,3.9058,3.9118,3.895,3.9021
2018-05-04,3.9018,3.9068,3.89,3.8941
2018-05-07,3.8941,3.9007,3.8833,3.8951
2018-05-08,3.8947,3.9195,3.8924,3.9138
2018-05-09,3.9142,3.9126,3.9015,3.8999
2018-05-10,3.8995,3.9044,3.8785,3.8806
2018-05-11,3.8802,3.8905,3.8742,3.8787
2018-05-14,3.8787,3.885,3.863,3.8756
2018-05-15,3.8748,3.9154,3.8689,3.9115
2018-05-16,3.9111,3.939,3.9078,3.92
2018-05-17,3.9204,3.9216,3.9172,3.9241
2018-05-18,3.9233,3.9489,3.9186,3.9451
2018-05-21,3.9451,3.9541,3.93,3.9318
2018-05-22,3.9314,3.9612,3.9273,3.9579
2018-05-23,3.9575,3.9987,3.9521,3.9727
2018-05-24,3.9735,3.9957,3.9634,3.9831
2018-05-25,3.9819,4.0157,3.9767,4.0128
2018-05-28,4.0128,4.0178,3.9743,4.0166
2018-05-29,4.0174,4.0857,4.0066,4.0601
2018-05-30,4.0605,4.0663,4.0227,4.0311
2018-05-31,4.032,4.064,4.0187,4.0446
2018-06-01,4.0442,4.0534,4.0292,4.0483
