Date,Open,High,Low,Close,Adj Close,Volume
2018-02-07,1.568650,1.574450,1.563920,1.568220,1.568220,0
2018-02-08,1.569310,1.573570,1.565150,1.569550,1.569550,0
2018-02-09,1.574640,1.578220,1.564920,1.574280,1.574280,0
2018-02-12,1.566810,1.571100,1.562400,1.566710,1.566710,0
2018-02-13,1.565420,1.577750,1.560790,1.565490,1.565490,0
2018-02-14,1.571280,1.581120,1.569000,1.571390,1.571390,0
2018-02-15,1.572110,1.580260,1.568060,1.572350,1.572350,0
2018-02-16,1.574140,1.576820,1.567500,1.573980,1.573980,0
2018-02-19,1.568610,1.569260,1.565000,1.568630,1.568630,0
2018-02-20,1.567470,1.569790,1.560790,1.567000,1.567000,0
2018-02-21,1.565140,1.572440,1.562450,1.565160,1.565160,0
2018-02-22,1.574780,1.575300,1.567400,1.574780,1.574780,0
2018-02-23,1.572430,1.575740,1.570660,1.572350,1.572350,0
2018-02-26,1.567460,1.571420,1.562220,1.567480,1.567480,0
2018-02-27,1.568910,1.573330,1.566140,1.568760,1.568760,0
2018-02-28,1.568810,1.571350,1.562690,1.569240,1.569240,0
2018-03-01,1.570540,1.580000,1.570050,1.570270,1.570270,0
2018-03-02,1.580200,1.591830,1.578500,1.580150,1.580150,0
2018-03-05,1.588130,1.593500,1.585900,1.588070,1.588070,0
2018-03-06,1.588530,1.590950,1.582780,1.588000,1.588000,0
2018-03-07,1.594830,1.597620,1.585300,1.594660,1.594660,0
2018-03-08,1.585480,1.594020,1.580970,1.585500,1.585500,0
2018-03-09,1.579860,1.582330,1.569700,1.579640,1.579640,0
2018-03-12,1.565530,1.568350,1.562400,1.565430,1.565430,0
2018-03-13,1.567130,1.573150,1.564600,1.567260,1.567260,0
2018-03-14,1.576830,1.577470,1.563900,1.577020,1.577020,0
2018-03-15,1.570040,1.578280,1.569700,1.570460,1.570460,0
2018-03-16,1.579840,1.589200,1.578300,1.579880,1.579880,0
2018-03-19,1.591300,1.601510,1.589700,1.591560,1.591560,0
2018-03-20,1.600110,1.603880,1.591800,1.600380,1.600380,0
2018-03-21,1.592710,1.599640,1.591290,1.592910,1.592910,0
2018-03-22,1.587700,1.599860,1.587570,1.588070,1.588070,0
2018-03-23,1.601190,1.601440,1.594300,1.601860,1.601860,0
