Date,Open,High,Low,Close,Adj Close,Volume
2018-02-07,1.548250,1.550490,1.540160,1.548150,1.548150,0
2018-02-08,1.541710,1.544480,1.537600,1.541750,1.541750,0
2018-02-09,1.543200,1.555250,1.539890,1.543530,1.543530,0
2018-02-12,1.542420,1.549000,1.540400,1.542360,1.542360,0
2018-02-13,1.547540,1.560000,1.545400,1.547630,1.547630,0
2018-02-14,1.555100,1.559200,1.551480,1.555200,1.555200,0
2018-02-15,1.556060,1.564240,1.555200,1.556210,1.556210,0
2018-02-16,1.560750,1.564410,1.556300,1.560400,1.560400,0
2018-02-19,1.558560,1.559740,1.554830,1.558000,1.558000,0
2018-02-20,1.558190,1.559060,1.553300,1.558160,1.558160,0
2018-02-21,1.560200,1.562580,1.557900,1.560120,1.560120,0
2018-02-22,1.559320,1.568510,1.556700,1.559400,1.559400,0
2018-02-23,1.567080,1.567460,1.553720,1.567030,1.567030,0
2018-02-26,1.554020,1.563030,1.553740,1.553980,1.553980,0
2018-02-27,1.562200,1.565600,1.559620,1.561900,1.561900,0
2018-02-28,1.561110,1.565090,1.557770,1.561840,1.561840,0
2018-03-01,1.564700,1.568440,1.562270,1.564300,1.564300,0
2018-03-02,1.574400,1.588440,1.572700,1.574100,1.574100,0
2018-03-05,1.587350,1.601730,1.584200,1.586900,1.586900,0
2018-03-06,1.601260,1.604470,1.596690,1.601190,1.601190,0
2018-03-07,1.607880,1.610830,1.601100,1.607640,1.607640,0
2018-03-08,1.601790,1.606480,1.592350,1.601600,1.601600,0
2018-03-09,1.587200,1.588930,1.576640,1.587030,1.587030,0
2018-03-12,1.576860,1.581790,1.575800,1.577040,1.577040,0
2018-03-13,1.584560,1.602630,1.582700,1.584570,1.584570,0
2018-03-14,1.605640,1.606660,1.598330,1.605300,1.605300,0
2018-03-15,1.602940,1.609980,1.599820,1.603030,1.603030,0
2018-03-16,1.606000,1.613900,1.604680,1.605940,1.605940,0
2018-03-19,1.607990,1.614070,1.605710,1.607930,1.607930,0
2018-03-20,1.613690,1.615170,1.603030,1.613780,1.613780,0
2018-03-21,1.601250,1.602550,1.589300,1.601280,1.601280,0
2018-03-22,1.592370,1.595300,1.583770,1.592390,1.592390,0
2018-03-23,1.593560,1.595930,1.582080,1.593650,1.593650,0
2018-03-26,1.591090,1.607640,1.589160,1.591250,1.591250,0
2018-03-27,1.598650,1.601290,1.590800,1.598970,1.598970,0
2018-03-28,1.597770,1.600670,1.588650,1.597760,1.597760,0
2018-03-29,1.590450,1.593000,1.584230,1.590220,1.590220,0
2018-03-30,1.585290,1.589670,1.584600,1.585400,1.585400,0
2018-04-02,1.587420,1.589240,1.586600,1.587580,1.587580,0
2018-04-03,1.588250,1.588490,1.567230,1.588360,1.588360,0
