Date,Open,High,Low,Close,Adj Close,Volume
2018-02-07,7.442100,7.442900,7.441790,7.442500,7.442500,0
2018-02-08,7.442560,7.443300,7.441290,7.442500,7.442500,0
2018-02-09,7.442740,7.444280,7.441900,7.442610,7.442610,0
2018-02-12,7.444020,7.447240,7.442640,7.443780,7.443780,0
2018-02-13,7.447190,7.449700,7.446520,7.447600,7.447600,0
2018-02-14,7.450610,7.450800,7.446500,7.450500,7.450500,0
2018-02-15,7.449880,7.450600,7.447300,7.449900,7.449900,0
2018-02-16,7.448750,7.449300,7.446510,7.448890,7.448890,0
2018-02-19,7.448010,7.448600,7.446400,7.447980,7.447980,0
2018-02-20,7.446790,7.448600,7.446310,7.446630,7.446630,0
2018-02-21,7.446640,7.447240,7.445700,7.446500,7.446500,0
2018-02-22,7.446440,7.447000,7.444790,7.446400,7.446400,0
2018-02-23,7.446950,7.447500,7.444840,7.446940,7.446940,0
2018-02-26,7.445820,7.446900,7.444830,7.446340,7.446340,0
2018-02-27,7.444690,7.446070,7.444670,7.444810,7.444810,0
2018-02-28,7.445590,7.446430,7.444930,7.445500,7.445500,0
2018-03-01,7.445860,7.447000,7.445670,7.446300,7.446300,0
2018-03-02,7.447920,7.448410,7.445790,7.447340,7.447340,0
2018-03-05,7.446790,7.448290,7.445250,7.446720,7.446720,0
2018-03-06,7.448330,7.449900,7.447990,7.448600,7.448600,0
2018-03-07,7.449140,7.450900,7.448940,7.449190,7.449190,0
2018-03-08,7.450690,7.451100,7.447590,7.450690,7.450690,0
2018-03-09,7.447520,7.449600,7.447100,7.447550,7.447550,0
2018-03-12,7.449200,7.450000,7.447600,7.448780,7.448780,0
2018-03-13,7.447640,7.448610,7.447160,7.447570,7.447570,0
2018-03-14,7.447570,7.449600,7.447480,7.447600,7.447600,0
2018-03-15,7.448690,7.449600,7.447650,7.448670,7.448670,0
2018-03-16,7.448000,7.448850,7.447480,7.448100,7.448100,0
2018-03-19,7.447810,7.449000,7.447440,7.448200,7.448200,0
2018-03-20,7.448800,7.448800,7.447570,7.448260,7.448260,0
2018-03-21,7.449000,7.449200,7.447770,7.448900,7.448900,0
2018-03-22,7.448720,7.449680,7.447240,7.448230,7.448230,0
2018-03-23,7.447930,7.448500,7.446980,7.448400,7.448400,0
2018-03-26,7.448400,7.448600,7.446450,7.447790,7.447790,0
2018-03-27,7.442810,7.450500,7.442620,7.442840,7.442840,0
2018-03-28,7.450100,7.452310,7.448010,7.449750,7.449750,0
2018-03-29,7.451950,7.454720,7.451060,7.451890,7.451890,0
2018-03-30,7.453920,7.454800,7.452200,7.454070,7.454070,0
2018-04-02,7.453220,7.454100,7.450590,7.453190,7.453190,0
2018-04-03,7.449100,7.450600,7.447560,7.448460,7.448460,0
2018-04-04,7.450220,7.450700,7.448170,7.450230,7.450230,0
2018-04-05,7.449480,7.450000,7.446070,7.449490,7.449490,0
2018-04-06,7.446880,7.447400,7.445970,7.446930,7.446930,0
2018-04-09,7.446460,7.447000,7.445670,7.446410,7.446410,0
2018-04-10,7.446420,7.446900,7.445940,7.446500,7.446500,0
2018-04-11,7.446120,7.447040,7.444020,7.446110,7.446110,0
2018-04-12,7.445340,7.446380,7.444050,7.445240,7.445240,0
2018-04-13,7.446620,7.447100,7.445320,7.446650,7.446650,0
2018-04-16,7.446530,7.447730,7.446130,7.446350,7.446350,0
2018-04-17,7.446980,7.447900,7.445980,7.447070,7.447070,0
2018-04-18,7.447160,7.448020,7.446500,7.447700,7.447700,0
2018-04-19,7.447340,7.447900,7.446520,7.447450,7.447450,0
2018-04-20,7.447190,7.447810,7.446520,7.447250,7.447250,0
2018-04-23,7.447190,7.447900,7.445700,7.447120,7.447120,0
2018-04-24,7.447330,7.448100,7.446940,7.447360,7.447360,0
2018-04-25,7.446510,7.451110,7.445670,7.446400,7.446400,0
2018-04-26,7.449620,7.450800,7.448210,7.449660,7.449660,0
2018-04-27,7.450230,7.450600,7.449270,7.450260,7.450260,0
2018-04-30,7.449790,7.451000,7.449570,7.449790,7.449790,0
2018-05-01,7.449590,7.450600,7.449350,7.450000,7.450000,0
2018-05-02,7.450610,7.451200,7.447860,7.450020,7.450020,0
2018-05-03,7.449000,7.449800,7.448170,7.448920,7.448920,0
2018-05-04,7.449570,7.450210,7.447740,7.449900,7.449900,0
2018-05-07,7.449440,7.450420,7.447550,7.449380,7.449380,0
2018-05-08,7.448010,7.450690,7.447050,7.448070,7.448070,0
2018-05-09,7.448170,7.450410,7.445980,7.448160,7.448160,0
2018-05-10,7.450100,7.450480,7.447870,7.450100,7.450100,0
2018-05-11,7.450300,7.450600,7.448500,7.449830,7.449830,0
2018-05-14,7.449720,7.450500,7.448400,7.449740,7.449740,0
2018-05-15,7.448900,7.449300,7.446720,7.448630,7.448630,0
2018-05-16,7.447790,7.449120,7.447380,7.447770,7.447770,0
2018-05-17,7.446680,7.448610,7.445770,7.446730,7.446730,0
2018-05-18,7.447310,7.448400,7.445660,7.447700,7.447700,0
2018-05-21,7.446160,7.447700,7.445800,7.446500,7.446500,0
2018-05-22,7.446260,7.447800,7.445870,7.446500,7.446500,0
2018-05-23,7.447890,7.450640,7.446570,7.447900,7.447900,0
2018-05-24,7.448750,7.449480,7.447310,7.448820,7.448820,0
2018-05-25,7.448390,7.449000,7.446400,7.448440,7.448440,0
2018-05-28,7.448380,7.448900,7.446280,7.448900,7.448900,0
2018-05-29,7.447400,7.447500,7.440360,7.447140,7.447140,0
2018-05-30,7.441400,7.444550,7.440960,7.441380,7.441380,0
2018-05-31,7.442200,7.444340,7.440150,7.442200,7.442200,0
2018-06-01,7.442060,7.443910,7.440440,7.442700,7.442700,0
2018-06-04,7.443400,7.444480,7.441340,7.443400,7.443400,0
2018-06-05,7.442290,7.442730,7.441220,7.442340,7.442340,0
2018-06-06,7.441960,7.445400,7.441590,7.442460,7.442460,0
2018-06-07,7.445220,7.448750,7.443750,7.445320,7.445320,0
2018-06-08,7.448100,7.448960,7.446650,7.448300,7.448300,0
2018-06-11,7.448280,7.449500,7.447280,7.448700,7.448700,0
2018-06-12,7.449000,7.450600,7.448140,7.449400,7.449400,0
2018-06-13,7.450090,7.450700,7.449060,7.450130,7.450130,0
