Date,Open,High,Low,Close,Adj Close,Volume
2018-02-07,9.679540,9.697320,9.597000,9.679460,9.679460,0
2018-02-08,9.590550,9.609200,9.548000,9.590600,9.590600,0
2018-02-09,9.586820,9.605750,9.557000,9.586740,9.586740,0
2018-02-12,9.579280,9.615430,9.566000,9.578560,9.578560,0
2018-02-13,9.618050,9.674570,9.606800,9.619920,9.619920,0
2018-02-14,9.661300,9.708000,9.603130,9.659600,9.659600,0
2018-02-15,9.750770,9.785310,9.737300,9.750940,9.750940,0
2018-02-16,9.779920,9.818600,9.721160,9.776000,9.776000,0
2018-02-19,9.706000,9.726130,9.674000,9.706900,9.706900,0
2018-02-20,9.696700,9.705060,9.641000,9.696860,9.696860,0
2018-02-21,9.650880,9.657950,9.623000,9.648800,9.648800,0
2018-02-22,9.608650,9.663040,9.593000,9.608800,9.608800,0
2018-02-23,9.643450,9.646930,9.606600,9.642900,9.642900,0
2018-02-26,9.612660,9.665610,9.608000,9.611880,9.611880,0
2018-02-27,9.634000,9.660850,9.566830,9.633820,9.633820,0
2018-02-28,9.566040,9.582760,9.537000,9.572410,9.572410,0
2018-03-01,9.539920,9.564100,9.513250,9.539980,9.539980,0
2018-03-02,9.603730,9.652880,9.592000,9.604000,9.604000,0
2018-03-05,9.646060,9.669600,9.607000,9.643720,9.643720,0
2018-03-06,9.662170,9.727850,9.657000,9.660000,9.660000,0
2018-03-07,9.727580,9.746340,9.703000,9.725490,9.725490,0
2018-03-08,9.723930,9.750200,9.648100,9.723860,9.723860,0
2018-03-09,9.648750,9.666500,9.618000,9.647600,9.647600,0
2018-03-12,9.645190,9.673700,9.633000,9.645510,9.645510,0
2018-03-13,9.672380,9.719780,9.652000,9.673110,9.673110,0
2018-03-14,9.714910,9.732920,9.682000,9.713400,9.713400,0
2018-03-15,9.701850,9.710410,9.660640,9.702210,9.702210,0
2018-03-16,9.647900,9.673080,9.614300,9.648600,9.648600,0
2018-03-19,9.630000,9.671420,9.615200,9.630300,9.630300,0
2018-03-20,9.673500,9.689630,9.617000,9.674910,9.674910,0
2018-03-21,9.607180,9.646820,9.606100,9.607520,9.607520,0
2018-03-22,9.684980,9.718280,9.650000,9.685850,9.685850,0
2018-03-23,9.671300,9.697600,9.665000,9.671290,9.671290,0
2018-03-26,9.692380,9.766300,9.691000,9.692590,9.692590,0
2018-03-27,9.771960,9.788000,9.707000,9.774030,9.774030,0
2018-03-28,9.735280,9.745400,9.680000,9.735210,9.735210,0
2018-03-29,9.660790,9.679420,9.638900,9.658830,9.658830,0
2018-03-30,9.654050,9.676800,9.641000,9.653800,9.653800,0
2018-04-02,9.663130,9.686880,9.640260,9.664180,9.664180,0
2018-04-03,9.647400,9.680950,9.615000,9.646400,9.646400,0
2018-04-04,9.636850,9.662040,9.620400,9.636200,9.636200,0
2018-04-05,9.643800,9.645470,9.590270,9.642940,9.642940,0
2018-04-06,9.615060,9.635280,9.588840,9.615550,9.615550,0
2018-04-09,9.630000,9.677020,9.622000,9.630280,9.630280,0
