Date,Open,High,Low,Close,Adj Close,Volume
2018-02-07,4.305150,4.316750,4.284650,4.305050,4.305050,0
2018-02-08,4.284950,4.297350,4.273550,4.284850,4.284850,0
2018-02-09,4.310750,4.331150,4.299150,4.310750,4.310750,0
2018-02-12,4.313550,4.332750,4.304500,4.313550,4.313550,0
2018-02-13,4.326950,4.372850,4.321450,4.327850,4.327850,0
2018-02-14,4.365550,4.382350,4.348200,4.365950,4.365950,0
2018-02-15,4.388350,4.423250,4.377450,4.388350,4.388350,0
2018-02-16,4.415150,4.429550,4.405200,4.413950,4.413950,0
2018-02-19,4.392750,4.401550,4.342050,4.392750,4.392750,0
2018-02-20,4.345350,4.348750,4.308650,4.345150,4.345150,0
2018-02-21,4.313650,4.321150,4.291950,4.313650,4.313650,0
2018-02-22,4.289550,4.312750,4.281100,4.289950,4.289950,0
2018-02-23,4.298750,4.300750,4.282750,4.299150,4.299150,0
2018-02-26,4.278750,4.310850,4.092600,4.278350,4.278350,0
2018-02-27,4.289350,4.300150,4.253850,4.288750,4.288750,0
2018-02-28,4.252290,4.263050,4.234150,4.258950,4.258950,0
2018-03-01,4.233950,4.250750,4.230750,4.233950,4.233950,0
2018-03-02,4.242350,4.253950,4.194050,4.242150,4.242150,0
2018-03-05,4.234750,4.281550,4.227150,4.234750,4.234750,0
2018-03-06,4.272050,4.300250,4.270800,4.271650,4.271650,0
2018-03-07,4.283350,4.313750,4.279200,4.288350,4.288350,0
2018-03-08,4.284820,4.289550,4.252450,4.284840,4.284840,0
2018-03-09,4.252550,4.260750,4.223450,4.255750,4.255750,0
2018-03-12,4.232750,4.248350,4.035400,4.232750,4.232750,0
2018-03-13,4.245950,4.257350,4.031600,4.245550,4.245550,0
2018-03-14,4.242350,4.255150,4.228900,4.240750,4.240750,0
2018-03-15,4.247950,4.254950,4.238650,4.248350,4.248350,0
2018-03-16,4.245150,4.258350,4.239250,4.245950,4.245950,0
2018-03-19,4.240350,4.278450,4.192750,4.240350,4.240350,0
2018-03-20,4.280950,4.297750,4.264700,4.281150,4.281150,0
2018-03-21,4.251650,4.297550,4.251650,4.254350,4.254350,0
2018-03-22,4.271150,4.298550,4.270850,4.280750,4.280750,0
2018-03-23,4.288150,4.310350,4.287150,4.289550,4.289550,0
2018-03-26,4.304350,4.356750,4.303550,4.304350,4.304350,0
2018-03-27,4.352650,4.353950,4.303600,4.353350,4.353350,0
2018-03-28,4.319950,4.338350,4.313550,4.316750,4.316750,0
2018-03-29,4.315150,4.330680,4.305150,4.313950,4.313950,0
2018-03-30,4.303200,4.316150,4.296540,4.307850,4.307850,0
2018-04-02,4.304620,4.340750,4.302780,4.305950,4.305950,0
2018-04-03,4.325190,4.345250,4.319500,4.330350,4.330350,0
2018-04-04,4.332980,4.357350,4.320300,4.332800,4.332800,0
2018-04-05,4.343550,4.344350,4.311970,4.343050,4.343050,0
2018-04-06,4.313730,4.340350,4.310130,4.313770,4.313770,0
2018-04-09,4.321690,4.341490,4.320540,4.320940,4.320940,0
2018-04-10,4.337550,4.339950,4.314000,4.338350,4.338350,0
2018-04-11,4.327750,4.358040,4.324450,4.327150,4.327150,0
2018-04-12,4.336750,4.348870,4.317250,4.336350,4.336350,0
2018-04-13,4.329950,4.345550,4.313950,4.329550,4.329550,0
2018-04-16,4.336170,4.366950,4.325640,4.335760,4.335760,0
2018-04-17,4.366910,4.375550,4.339100,4.367150,4.367150,0
2018-04-18,4.159100,4.359060,4.159100,4.345150,4.345150,0
2018-04-19,4.342750,4.355170,4.336350,4.342750,4.342750,0
2018-04-20,4.346350,4.351280,4.326150,4.346750,4.346750,0
2018-04-23,4.328010,4.342140,4.324980,4.327760,4.327760,0
2018-04-24,4.325350,4.358450,4.317150,4.324550,4.324550,0
2018-04-25,4.357950,4.381450,4.350000,4.358750,4.358750,0
2018-04-26,4.369150,4.375550,4.336950,4.370350,4.370350,0
2018-04-27,4.340280,4.350350,4.329250,4.340490,4.340490,0
2018-04-30,4.342570,4.353070,4.328700,4.346070,4.346070,0
2018-05-01,4.342350,4.358450,4.322450,4.342250,4.342250,0
2018-05-02,4.322230,4.342890,4.320610,4.322930,4.322930,0
2018-05-03,4.330750,4.353750,4.323570,4.329550,4.329550,0
2018-05-04,4.335950,4.338350,4.313250,4.335150,4.335150,0
2018-05-07,4.321950,4.329950,4.296750,4.321950,4.321950,0
2018-05-08,4.300150,4.304630,4.264750,4.299950,4.299950,0
2018-05-09,4.296750,4.296750,4.252450,4.295360,4.295360,0
2018-05-10,4.242690,4.266590,4.224650,4.242170,4.242170,0
2018-05-11,4.243550,4.265150,4.240950,4.245150,4.245150,0
2018-05-14,4.269160,4.294250,4.266800,4.269410,4.269410,0
2018-05-15,4.286050,4.290550,4.252650,4.285550,4.285550,0
2018-05-16,4.089600,4.263350,4.089600,4.244350,4.244350,0
2018-05-17,4.226900,4.242100,4.210470,4.228130,4.228130,0
2018-05-18,4.227770,4.241910,4.222750,4.228640,4.228640,0
2018-05-21,4.217020,4.227550,4.205200,4.218020,4.218020,0
2018-05-22,4.210450,4.216970,4.188820,4.211550,4.211550,0
2018-05-23,4.189700,4.198600,4.175620,4.193950,4.193950,0
2018-05-24,4.174680,4.194850,4.169260,4.179550,4.179550,0
2018-05-25,4.176450,4.178000,4.143550,4.175950,4.175950,0
2018-05-28,4.154630,4.166190,4.145300,4.155290,4.155290,0
2018-05-29,4.152850,4.171050,4.131350,4.151450,4.151450,0
2018-05-30,4.143780,4.170420,4.135900,4.143810,4.143810,0
