Date,Open,High,Low,Close,Adj Close,Volume
2018-02-07,1.688890,1.695710,1.685300,1.688760,1.688760,0
2018-02-08,1.696700,1.709080,1.691880,1.697320,1.697320,0
2018-02-09,1.697020,1.701940,1.685750,1.696590,1.696590,0
2018-02-12,1.690850,1.696610,1.687900,1.690780,1.690780,0
2018-02-13,1.694000,1.699730,1.686130,1.693100,1.693100,0
2018-02-14,1.696260,1.698390,1.685130,1.696170,1.696170,0
2018-02-15,1.690390,1.693450,1.684700,1.690610,1.690610,0
2018-02-16,1.689850,1.692530,1.680200,1.689100,1.689100,0
2018-02-19,1.679690,1.683030,1.676600,1.679910,1.679910,0
2018-02-20,1.683720,1.684980,1.674690,1.683580,1.683580,0
2018-02-21,1.680160,1.682030,1.674800,1.679920,1.679920,0
2018-02-22,1.678560,1.679820,1.674100,1.678480,1.678480,0
2018-02-23,1.683750,1.690720,1.681500,1.683080,1.683080,0
2018-02-26,1.687150,1.687710,1.677800,1.687910,1.687910,0
2018-02-27,1.689180,1.694110,1.687440,1.689000,1.689000,0
2018-02-28,1.690180,1.694860,1.686700,1.690280,1.690280,0
2018-03-01,1.691550,1.695690,1.681340,1.691330,1.691330,0
2018-03-02,1.689740,1.703480,1.685500,1.689100,1.689100,0
2018-03-05,1.702890,1.709240,1.700570,1.703140,1.703140,0
2018-03-06,1.707490,1.708260,1.697400,1.707500,1.707500,0
2018-03-07,1.705070,1.707930,1.700330,1.704780,1.704780,0
2018-03-08,1.703080,1.712870,1.695200,1.703390,1.703390,0
2018-03-09,1.695240,1.696470,1.687170,1.694920,1.694920,0
2018-03-12,1.683910,1.689550,1.681700,1.684000,1.684000,0
2018-03-13,1.689910,1.690460,1.681200,1.689980,1.689980,0
2018-03-14,1.690740,1.691660,1.684200,1.690680,1.690680,0
2018-03-15,1.692150,1.694220,1.686900,1.691650,1.691650,0
2018-03-16,1.692760,1.702790,1.692000,1.691800,1.691800,0
2018-03-19,1.699140,1.708110,1.698100,1.699100,1.699100,0
2018-03-20,1.703160,1.710810,1.702600,1.703190,1.703190,0
2018-03-21,1.705830,1.716160,1.704500,1.706130,1.706130,0
2018-03-22,1.707100,1.710880,1.699450,1.707540,1.707540,0
2018-03-23,1.707800,1.709260,1.698750,1.707800,1.707800,0
2018-03-26,1.705880,1.707710,1.697100,1.706210,1.706210,0
2018-03-27,1.705910,1.711150,1.702200,1.705780,1.705780,0
2018-03-28,1.706990,1.710580,1.702780,1.706610,1.706610,0
2018-03-29,1.706960,1.713840,1.703070,1.707050,1.707050,0
2018-03-30,1.701910,1.704050,1.699600,1.701600,1.701600,0
2018-04-02,1.701820,1.706310,1.701400,1.702240,1.702240,0
2018-04-03,1.706310,1.709080,1.688000,1.706580,1.706580,0
2018-04-04,1.690400,1.691490,1.681190,1.690390,1.690390,0
2018-04-05,1.678770,1.687070,1.677060,1.678640,1.678640,0
2018-04-06,1.686720,1.690720,1.684100,1.686800,1.686800,0
2018-04-09,1.686200,1.688700,1.679700,1.686930,1.686930,0
2018-04-10,1.686230,1.686620,1.674800,1.686150,1.686150,0
2018-04-11,1.677680,1.682780,1.676000,1.677170,1.677170,0
2018-04-12,1.679060,1.679970,1.668930,1.678980,1.678980,0
2018-04-13,1.670510,1.677170,1.666400,1.670860,1.670860,0
2018-04-16,1.677980,1.685730,1.674800,1.678110,1.678110,0
2018-04-17,1.681060,1.689090,1.679200,1.681290,1.681290,0
2018-04-18,1.685480,1.692410,1.684400,1.685590,1.685590,0
2018-04-19,1.689940,1.697070,1.687200,1.689200,1.689200,0
2018-04-20,1.701290,1.706640,1.699800,1.700560,1.700560,0
2018-04-23,1.703860,1.708170,1.701600,1.703520,1.703520,0
2018-04-24,1.707730,1.719050,1.707500,1.707420,1.707420,0
2018-04-25,1.719760,1.724750,1.718200,1.718600,1.718600,0
2018-04-26,1.720160,1.725630,1.713000,1.720060,1.720060,0
2018-04-27,1.713800,1.716410,1.710100,1.713960,1.713960,0
2018-04-30,1.712210,1.716630,1.710700,1.710500,1.710500,0
2018-05-01,1.716230,1.717090,1.711980,1.716510,1.716510,0
2018-05-02,1.712470,1.713900,1.706500,1.712890,1.712890,0
2018-05-03,1.708480,1.709740,1.700000,1.708390,1.708390,0
2018-05-04,1.702700,1.706920,1.700140,1.702700,1.702700,0
2018-05-07,1.702500,1.704690,1.696300,1.702880,1.702880,0
2018-05-08,1.698950,1.704460,1.696100,1.699170,1.699170,0
2018-05-09,1.702980,1.704250,1.695700,1.702300,1.702300,0
2018-05-10,1.708550,1.717900,1.707300,1.709240,1.709240,0
2018-05-11,1.711380,1.716840,1.706700,1.710800,1.710800,0
2018-05-14,1.715060,1.727520,1.713900,1.715150,1.715150,0
2018-05-15,1.724000,1.728900,1.720800,1.724560,1.724560,0
2018-05-16,1.722380,1.724890,1.705980,1.722110,1.722110,0
2018-05-17,1.711180,1.715710,1.705280,1.710200,1.710200,0
2018-05-18,1.712960,1.714730,1.701700,1.712690,1.712690,0
2018-05-21,1.701500,1.704660,1.696200,1.701000,1.701000,0
2018-05-22,1.696030,1.701010,1.688800,1.694900,1.694900,0
2018-05-23,1.697340,1.706060,1.693600,1.697850,1.697850,0
2018-05-24,1.690410,1.697610,1.687700,1.689890,1.689890,0
2018-05-25,1.691240,1.693520,1.683000,1.691290,1.691290,0
2018-05-28,1.688640,1.689590,1.670280,1.688100,1.688100,0
2018-05-29,1.675430,1.678310,1.665870,1.675240,1.675240,0
2018-05-30,1.674000,1.676020,1.662700,1.674370,1.674370,0
2018-05-31,1.669400,1.675590,1.660930,1.670250,1.670250,0
2018-06-01,1.668390,1.676620,1.665100,1.669030,1.669030,0
2018-06-04,1.670600,1.671640,1.661200,1.671480,1.671480,0
2018-06-05,1.663430,1.666570,1.660330,1.663880,1.663880,0
2018-06-06,1.668240,1.674160,1.661750,1.667990,1.667990,0
2018-06-07,1.674020,1.682010,1.672500,1.673100,1.673100,0
2018-06-08,1.680570,1.680990,1.671400,1.680340,1.680340,0
2018-06-11,1.674800,1.678670,1.672100,1.675230,1.675230,0
2018-06-12,1.677520,1.678760,1.669900,1.677720,1.677720,0
2018-06-13,1.676000,1.678180,1.669580,1.676850,1.676850,0
2018-06-14,1.680440,1.682060,1.657640,1.679500,1.679500,0
2018-06-15,1.661050,1.673630,1.660580,1.661510,1.661510,0
2018-06-18,1.670940,1.674870,1.666900,1.670910,1.670910,0
2018-06-19,1.678210,1.682530,1.670000,1.678070,1.678070,0
2018-06-20,1.678240,1.686510,1.673800,1.678240,1.678240,0
2018-06-21,1.685000,1.692430,1.680400,1.685560,1.685560,0
2018-06-22,1.689120,1.689910,1.681800,1.688200,1.688200,0
2018-06-25,1.686370,1.697120,1.684100,1.686120,1.686120,0
2018-06-26,1.698350,1.701790,1.696100,1.698490,1.698490,0
2018-06-27,1.700470,1.711170,1.700470,1.700740,1.700740,0
2018-06-28,1.702610,1.715680,1.702610,1.702590,1.702590,0
2018-06-29,1.711600,1.725440,1.711300,1.712430,1.712430,0
2018-07-02,1.722960,1.732800,1.717200,1.722200,1.722200,0
2018-07-03,1.734860,1.737510,1.725290,1.734000,1.734000,0
2018-07-04,1.726850,1.726850,1.717930,1.726380,1.726380,0
2018-07-05,1.724610,1.728130,1.720200,1.724590,1.724590,0
2018-07-06,1.720330,1.722800,1.715500,1.720540,1.720540,0
2018-07-09,1.719160,1.721750,1.716500,1.719240,1.719240,0
2018-07-10,1.716400,1.721130,1.713000,1.716250,1.716250,0
2018-07-11,1.720150,1.729940,1.719000,1.720000,1.720000,0
2018-07-12,1.728100,1.729740,1.721600,1.728380,1.728380,0
2018-07-13,1.722160,1.728550,1.719600,1.722300,1.722300,0
2018-07-16,1.726600,1.730540,1.723300,1.726120,1.726120,0
2018-07-17,1.725880,1.728720,1.712900,1.725850,1.725850,0
2018-07-18,1.720690,1.722870,1.714300,1.720870,1.720870,0
2018-07-19,1.714310,1.727660,1.712000,1.714230,1.714230,0
2018-07-20,1.727050,1.730190,1.720000,1.727030,1.727030,0
2018-07-23,1.720920,1.726010,1.716900,1.721180,1.721180,0
2018-07-24,1.724100,1.724780,1.717300,1.723100,1.723100,0
2018-07-25,1.718040,1.720380,1.714600,1.716800,1.716800,0
2018-07-26,1.714770,1.719900,1.712500,1.714700,1.714700,0
2018-07-27,1.715430,1.718920,1.713800,1.715580,1.715580,0
2018-07-30,1.715100,1.718220,1.711500,1.715530,1.715530,0
2018-07-31,1.714990,1.722460,1.713000,1.715400,1.715400,0
2018-08-01,1.718220,1.720770,1.715400,1.718220,1.718220,0
2018-08-02,1.716580,1.720920,1.715500,1.716670,1.716670,0
