Date,Open,High,Low,Close,Adj Close,Volume
2018-02-07,4.663310,4.679370,4.645470,4.662890,4.662890,0
2018-02-08,4.665420,4.699720,4.652100,4.664650,4.664650,0
2018-02-09,4.686180,4.697980,4.673660,4.685710,4.685710,0
2018-02-12,4.676190,4.690110,4.657920,4.676240,4.676240,0
2018-02-13,4.670920,4.710100,4.665170,4.671450,4.671450,0
2018-02-14,4.701510,4.723170,4.686360,4.701770,4.701770,0
2018-02-15,4.717220,4.725740,4.699120,4.711680,4.711680,0
2018-02-16,4.707770,4.735130,4.652770,4.706570,4.706570,0
2018-02-19,4.649660,4.671420,4.647520,4.650280,4.650280,0
2018-02-20,4.659420,4.703500,4.652890,4.659140,4.659140,0
2018-02-21,4.684470,4.696380,4.659400,4.684270,4.684270,0
2018-02-22,4.655920,4.683290,4.651990,4.655980,4.655980,0
2018-02-23,4.661860,4.669190,4.650600,4.663730,4.663730,0
2018-02-26,4.654310,4.669730,4.651850,4.653930,4.653930,0
2018-02-27,4.663210,4.676740,4.652540,4.661260,4.661260,0
2018-02-28,4.663970,4.668770,4.635880,4.666770,4.666770,0
2018-03-01,4.635600,4.657030,4.630770,4.632410,4.632410,0
2018-03-02,4.675580,4.710850,4.664400,4.675290,4.675290,0
2018-03-05,4.692160,4.712560,4.685210,4.691120,4.691120,0
2018-03-06,4.699450,4.711900,4.687080,4.700410,4.700410,0
2018-03-07,4.715290,4.732880,4.704200,4.715480,4.715480,0
2018-03-08,4.724370,4.742400,4.705960,4.724340,4.724340,0
2018-03-09,4.704560,4.713750,4.683600,4.706400,4.706400,0
2018-03-12,4.689040,4.737410,4.688200,4.692370,4.692370,0
2018-03-13,4.740990,4.790840,4.729060,4.741490,4.741490,0
2018-03-14,4.796750,4.811740,4.773500,4.795710,4.795710,0
2018-03-15,4.801980,4.823970,4.796950,4.801980,4.801980,0
2018-03-16,4.791650,4.830690,4.791650,4.791400,4.791400,0
2018-03-19,4.817040,4.867520,4.811180,4.812200,4.812200,0
2018-03-20,4.865100,4.868040,4.813560,4.864420,4.864420,0
2018-03-21,4.816930,4.838080,4.811400,4.816980,4.816980,0
2018-03-22,4.830400,4.851990,4.819800,4.830420,4.830420,0
2018-03-23,4.900050,4.905180,4.878400,4.897490,4.897490,0
2018-03-26,4.918410,4.962870,4.892360,4.917810,4.917810,0
2018-03-27,4.937870,4.957420,4.930610,4.939710,4.939710,0
2018-03-28,4.936960,4.970310,4.933390,4.937050,4.937050,0
2018-03-29,4.940290,4.955460,4.863610,4.939180,4.939180,0
2018-03-30,4.851620,4.883770,4.848310,4.851840,4.851840,0
2018-04-02,4.865680,4.892780,4.865320,4.867680,4.867680,0
2018-04-03,4.890120,4.909090,4.880480,4.890180,4.890180,0
2018-04-04,4.898880,4.945890,4.892770,4.898000,4.898000,0
2018-04-05,4.913460,4.964630,4.909130,4.912960,4.912960,0
2018-04-06,4.954510,4.975630,4.942380,4.950550,4.950550,0
2018-04-09,4.968770,5.011620,4.954830,4.966980,4.966980,0
2018-04-10,5.022680,5.117210,4.992730,5.021450,5.021450,0
2018-04-11,5.080860,5.192860,5.075700,5.081330,5.081330,0
2018-04-12,5.122280,5.147620,5.030690,5.126680,5.126680,0
2018-04-13,5.072350,5.074950,5.025700,5.072180,5.072180,0
2018-04-16,5.048100,5.093260,5.045830,5.047810,5.047810,0
2018-04-17,5.071660,5.115320,5.051450,5.071800,5.071800,0
2018-04-18,5.065660,5.082820,4.976050,5.065730,5.065730,0
2018-04-19,4.972310,5.007230,4.961870,4.978530,4.978530,0
2018-04-20,4.994250,4.997990,4.962140,4.994660,4.994660,0
2018-04-23,5.005390,5.029430,4.982990,5.007050,5.007050,0
2018-04-24,5.015560,5.017320,4.976180,5.016390,5.016390,0
2018-04-25,5.000890,5.004540,4.927180,5.001740,5.001740,0
2018-04-26,4.966890,4.979570,4.928000,4.971560,4.971560,0
2018-04-27,4.928530,4.937330,4.883370,4.923860,4.923860,0
2018-04-30,4.911250,4.921210,4.875100,4.911970,4.911970,0
2018-05-01,4.902510,4.931920,4.893550,4.903500,4.903500,0
2018-05-02,4.927780,5.003870,4.912510,4.924230,4.924230,0
2018-05-03,4.997820,5.079420,4.981070,4.998080,4.998080,0
2018-05-04,5.064350,5.131340,5.056400,5.063120,5.063120,0
2018-05-07,5.071960,5.093850,5.056740,5.070590,5.070590,0
2018-05-08,5.089160,5.114270,5.084500,5.090420,5.090420,0
2018-05-09,5.161650,5.174920,5.054760,5.161760,5.161760,0
2018-05-10,5.081860,5.111000,5.034850,5.083950,5.083950,0
2018-05-11,5.049650,5.153600,5.043040,5.051090,5.051090,0
2018-05-14,5.152760,5.203270,5.149580,5.153390,5.153390,0
2018-05-15,5.192390,5.306870,5.190010,5.191800,5.191800,0
2018-05-16,5.262450,5.321900,5.189430,5.263240,5.263240,0
2018-05-17,5.236780,5.272810,5.216970,5.237280,5.237280,0
2018-05-18,5.260050,5.297440,5.250000,5.259020,5.259020,0
2018-05-21,5.288610,5.408390,5.278970,5.289740,5.289740,0
2018-05-22,5.396600,5.493050,5.362670,5.399910,5.399910,0
2018-05-23,5.582940,5.752220,5.581530,5.582260,5.582260,0
2018-05-24,5.355260,5.634890,5.330190,5.354700,5.354700,0
2018-05-25,5.574250,5.619690,5.472870,5.573380,5.573380,0
2018-05-28,5.494470,5.515220,5.309290,5.490780,5.490780,0
2018-05-29,5.326700,5.352480,5.239060,5.326350,5.326350,0
2018-05-30,5.263340,5.263970,5.174450,5.262920,5.262920,0
2018-05-31,5.209540,5.304770,5.204270,5.210050,5.210050,0
2018-06-01,5.293780,5.416270,5.281360,5.294260,5.294260,0
2018-06-04,5.425870,5.468990,5.361440,5.418430,5.418430,0
2018-06-05,5.366370,5.416390,5.360450,5.365970,5.365970,0
2018-06-06,5.383580,5.441640,5.360570,5.386500,5.386500,0
2018-06-07,5.378680,5.428800,5.273650,5.378600,5.378600,0
2018-06-08,5.284980,5.340490,5.266400,5.278600,5.278600,0
2018-06-11,5.263970,5.349400,5.258880,5.264220,5.264220,0
2018-06-12,5.322100,5.396780,5.312990,5.322710,5.322710,0
2018-06-13,5.387960,5.519750,5.383850,5.389900,5.389900,0
2018-06-14,5.501240,5.529400,5.410840,5.503390,5.503390,0
2018-06-15,5.482540,5.518190,5.451660,5.481960,5.481960,0
2018-06-18,5.495280,5.507370,5.425980,5.488200,5.488200,0
2018-06-19,5.474480,5.513000,5.452400,5.474510,5.474510,0
2018-06-20,5.495630,5.519690,5.484040,5.492460,5.492460,0
2018-06-21,5.493200,5.511200,5.469720,5.496070,5.496070,0
2018-06-22,5.498980,5.521260,5.446390,5.495980,5.495980,0
2018-06-25,5.374790,5.500490,5.284070,5.376640,5.376640,0
2018-06-26,5.483790,5.513020,5.388070,5.483530,5.483530,0
2018-06-27,5.371110,5.421270,5.331590,5.372040,5.372040,0
2018-06-28,5.347810,5.369370,5.297590,5.346160,5.346160,0
2018-06-29,5.308360,5.361270,5.300600,5.307470,5.307470,0
2018-07-02,5.360000,5.403510,5.347220,5.368840,5.368840,0
2018-07-03,5.369310,5.460980,5.346790,5.371490,5.371490,0
2018-07-04,5.448310,5.504710,5.433900,5.448740,5.448740,0
2018-07-05,5.448530,5.475200,5.371620,5.451900,5.451900,0
2018-07-06,5.388600,5.407800,5.367060,5.384510,5.384510,0
2018-07-09,5.379880,5.427790,5.310600,5.379750,5.379750,0
2018-07-10,5.541430,5.562500,5.454420,5.539980,5.539980,0
2018-07-11,5.527910,5.681360,5.519450,5.527730,5.527730,0
2018-07-12,5.704690,5.732980,5.597870,5.715570,5.715570,0
2018-07-13,5.677110,5.680890,5.614300,5.678310,5.678310,0
2018-07-16,5.668210,5.696490,5.644500,5.669800,5.669800,0
2018-07-17,5.681970,5.693030,5.584300,5.682180,5.682180,0
2018-07-18,5.599870,5.622430,5.546570,5.593470,5.593470,0
2018-07-19,5.592100,5.626300,5.584290,5.585000,5.585000,0
2018-07-20,5.599710,5.626390,5.581550,5.602260,5.602260,0
2018-07-23,5.610290,5.613740,5.546700,5.610220,5.610220,0
2018-07-24,5.541790,5.779440,5.531610,5.538950,5.538950,0
2018-07-25,5.704370,5.709210,5.621640,5.702310,5.702310,0
2018-07-26,5.635710,5.682540,5.610600,5.628680,5.628680,0
2018-07-27,5.673040,5.677840,5.642310,5.668690,5.668690,0
2018-07-30,5.653970,5.733030,5.650870,5.659940,5.659940,0
2018-07-31,5.719870,5.771970,5.715430,5.718760,5.718760,0
2018-08-01,5.747430,5.796000,5.735800,5.748350,5.748350,0
2018-08-02,5.820010,5.923450,5.779400,5.818540,5.818540,0
